AD15;ARGOLLA DIAMANTE # 15;AD15;UND;0,65;0,82;6
ADDO09;ARGOLLA DIAMANTE DOBLE # 09;ADDO09;UND;0,65;0,82;6
ADDO12;ARGOLLA DIAMANTE DOBLE # 12;ADDO12;UND;0,7;0,88;6
ADM;ARETE CON DIAMANTE MEDIANO;ADM;UND;;2;
ADP;ARETE CON DIAMANTE PEQUEÑO;ADP;UND;;1,5;
ADPLAS;ARGOLLA DIAMANTE PLASTICA;ADPLAS;UND;0,4;0,5;6
ADPSAN;ARGOLLA DOBLE PARA SANDALIA;ADPSAN;UND;;0,44;
AECHP;AGUJA P/ENSARTAR CHAQUIRA /50;AECHP;UND;;0,11;
AECHP50;AGUJA P/ENSARTAR CHAQUIRA /50F;AECHP50;UND;1,5;1,88;6
AFCB;ARETE FINO CON BRILLO;AFCB;UND;;2,5;
AFG;ARETE FINO GRANDE;AFG;UND;1,75;2,19;6
AFGR;APLIQUE FLORES GRANDES;AFGR;UND;3;3,75;6
AFT10;ARGOLLA FINA T - 7100;AFT10;UND;0,35;0,45;6
AFT13;ARGOLLA FINA T - 1380;AFT13;UND;0,15;0,19;6
AFT16;ARGOLLA FINA T - 1666;AFT16;UND;0,4;0,5;6
AFT67;ARGOLLA FINA T - 1667;AFT67;UND;0,35;0,45;6
AFT68;ARGOLLA FINA T - 1668;AFT68;UND;0,4;0,5;6
AFT71;ARGOLLA FINA T - 6071;AFT71;UND;0,2;0,25;6
AFT81;ARGOLLA FINA T - 8146;AFT81;UND;;0,2;
AGUJX100;AGUJA X100;AGUJX100;UND;5;;
AK102;ARGOLLA ALUMINIO K102;AK102;UND;;1,44;
AK102F;ARGOLLA DE ALUMINIO K102 FDA/GD;AK102F;UND;11,5;13,8;3
AK104;ARGOLLA ALUMINIO K104;AK104;UND;;1,19;
AK104F;ARGOLLA DE ALUMINIO K104 FDA/GD;AK104F;UND;9,5;11,4;3
AK105;ARGOLLA ALUMINIO K105;AK105;UND;;0,74;
AK105F;ARGOLLA DE ALUMINIO K105 FDA/GD;AK105F;UND;5,9;7,08;3
AK106-107;ARGOLLA ALUMINIO K106-107;AK106-107;UND;;0,56;
AK106-7F;ARGOLLA DE ALUMINIO K106-K107 FDA/GD;AK106-7F;UND;4,5;5,4;3
ALF6;ALFILER 2 HUECOS 5 - 6;ALF6;UND;;0,63;
ALF6FG;ALFILER 2 HUECOS 5 - 6 FDA/GDE;ALF6FG;UND;5;6;3
ALMA;ALAMBRE MEMORIA ANILLO;ALMA;UND;;0,86;
ALMAKG;ALAMBRE MEMORIA ANILLO / KG;ALMAKG;UND;6,9;8,28;3
ALMC;ALAMBRE MEMORIA COLLAR;ALMC;UND;;0,86;
ALMCKG;ALAMBRE MEMORIA COLLAR / KG;ALMCKG;UND;6,9;8,28;3
ALMLPKG;ALAMBRE MEMORIA PULSERA / KG;ALMLPKG;UND;12;14,4;3
ALMP;ALAMBRE MEMORIA PULSERA;ALMP;UND;;1,5;
ALMPOFT;ALAMBRE MEMORIA PULSERA OFERTA;ALMPOFT;UND;;1,2;
ALL0.25F;ARGOLLA LLAVERO 0.25 x 1000 FDA/GDE;ALL0.25F;UND;7,5;9;3
ALL0.28;ARGOLLA LLAVERO 0.28 x 50 PLANA FDA/PEQ;ALL0.28;UND;;2,06;
ALL0.28F;ARGOLLA LLAVERO 0.28 x 1000 PLANA FDA/GDE;ALL0.28F;UND;16,5;19,8;3
ALL0.30;ARGOLLA LLAVERO 0.30 x 50;ALL0.30;UND;;2,13;
ALL0.30F;ARGOLLA LLAVERO 0.30 x 1000 FDA/GDE;ALL0.30F;UND;17;20,4;3
ALL0.32;ARGOLLA LLAVERO 0.32 x 25 PLANA;ALL0.32;UND;;2,19;
ALL.32PF;ARGOLLA LLAVERO 0.32 x 500 PLANA FDA/GDE;ALL.32PF;UND;17,5;21;3
ALLO.25;ARGOLLA LLAVERO 0.25 x 50;ALLO.25;UND;;0,94;
ALLPL;ARGOLLA LLAVERO 0.30 PLANA x 50;ALLPL;UND;;2,38;
ALLPLF;ARG. LLAVERO 0.30 PLANA x 1000 FG;ALLPLF;UND;19;22,8;3
AMAA;ALAMBRE MEMORIA ARETE;AMAA;UND;;0,86;
AMAAKG;ALAMBRE MEMORIA ARETE / KG;AMAAKG;UND;6,9;8,28;3
ANAF;ANILLO AGATA FACETEADO;ANAF;UND;0,4;0,5;6
ANAG;ANILLO AGATA;ANAG;UND;0,35;0,44;6
ANPL;ANILLO PLACA LARGA;ANPL;UND;;0,16;
AP1HOJA;APLIQUE 1 HOJA;AP1HOJA;UND;0,2;0,25;6
AP2FPQ;APLIQUE 2 FLOR PEQUEÑA;AP2FPQ;UND;0,09;0,11;6
AP2RL;APLIQUE 2 ROSAS LARGAS;AP2RL;UND;0,43;0,54;6
AP6FL;APLIQUE 6 FLORES;AP6FL;UND;0,45;0,56;6
APAM;ANILLO DE PIEDRA AMATISTA;APAM;UND;5;6;6
APCRIS;APLIQUE CON PEPA CRISTAL;APCRIS;UND;3,8;4,75;6
APER;ARETE PERLA;APER;UND;0,65;0,82;6
APFIN;ARETE PERLA FINA;APFIN;UND;;1;
APFP;APLIQUE FLOR PEQUEÑA;APFP;UND;0,13;0,16;6
APFPQ;APLIQUE FLORES PAQUETE;APFPQ;UND;2;2,5;6
APGF;APLIQUE GAJOS DE FLORES;APGF;UND;0,4;0,5;6
APGL;APLIQUE GAJOS LARGOS;APGL;UND;0,91;1,14;6
APGR;APLIQUE GRANDE PARA ROPA;APGR;UND;4;5;6
APHB;APLIQUE HOJA BORDADA;APHB;UND;0,12;0,15;6
APHC;APLIQUE HOJA CORAZON;APHC;UND;0,25;0,31;6
APLAM;ATACHE PLASTICO MD.;APLAM;UND;0,15;0,19;6
APLAP;ATACHE PLAST.PEQ.;APLAP;UND;0,13;0,16;6
APLAR;ATACHE PLASTICO PARA ROPA;APLAR;UND;;0,6;
APLAS;ATACHE PLASTICO;APLAS;UND;0,16;0,2;6
APLC;APLIQUE CARACOL;APLC;UND;0;0,71;
APLEM;APLIQUE CON LENTEJUELA MEDIANO;APLEM;UND;0,55;0,69;6
APLEN;APLIQUE CON LENTEJUELA;APLEN;UND;0,6;0,75;6
APLIXM;APLIQUE x METRO;APLIXM;UND;1,5;1,9;6M
APLx12;APLIQUE LANA X 12;APLx12;UND;1,8;2,25;6
APMG;APLIQUE MARIPOSA GRANDE;APMG;UND;0,75;0,94;6
APOK;APLIQUE OK.;APOK;UND;0,5;0,63;6
APRL;APLIQUE ROSA LENTEJUELA;APRL;UND;0,3;0,39;6
APTP;APLIQUE TULIPAN;APTP;UND;0,35;0,44;6
APVM;APLIQUE VARIOS MODELOS;APVM;UND;0,4;0,5;6
APZAP;ATACHE PARA ZAPATOS;APZAP;UND;0,25;0,31;6
AR2HUE;ARGOLLA DOS HUECOS;AR2HUE;UND;;0,42;
ARA30;ARGOLLA ALUMINIO 3.0 x 2.6;ARA30;UND;;0,56;
ARA30F;ARGOLLA DE ALUMINIO 3.0 x 2.6 FDA/GD;ARA30F;UND;4,5;5,4;3
ARAL2.0;ARGOLLA ALUMINIO 2.0 x 1.2;ARAL2.0;UND;;1,72;
ARAL2.0F;ARGOLLA ALUMINIO 2.0 x 1.2 FDA/GDE;ARAL2.0F;UND;13,75;16,5;3
ARAL3;ARGOLLA ALUMINIO 3.0 x 3.1;ARAL3;UND;;0,69;
ARAL3F;ARGOLLA DE ALUMINIO 3.0 x 3.1 FDA/GD;ARAL3F;UND;5,5;6,6;3
ARAX1000;ARGOLLA ARETE x 1000;ARAX1000;UND;;2,81;
ARBM;ARGOLLA BAMBU MADERA;ARBM;UND;0,75;0,94;
ARFNS3;ARETE FINO CONF3;ARFNS3;UND;;2,68;
ARG05;ARGOLLA 0.5;ARG05;UND;;0,58;
ARG05F;ARGOLLA 0.5 FDA/ GDE.;ARG05F;UND;4,6;5,52;3
ARG3;ARGOLLA 3.5 mm;ARG3;UND;;0,65;
ARG3F;ARGOLLA 3.5 mm FDA/ GDE;ARG3F;UND;5,2;6,24;3
ARGCB;ARGOLLA 0.5 COBRE / BRONCE;ARGCB;UND;;0,46;
ARGCBF;ARGOLLA 0.5 COBRE / BRONCE FDA/GDE;ARGCBF;UND;3,7;4,44;3
ARGN;ARGOLLA 0.5 NEGRA;ARGN;UND;;0,46;
ARGNF;ARGOLLA 0.5 NEGRA FDA/GDE;ARGNF;UND;3,7;4,44;3
ARLZ;APLIQUE ROSA - LAZO;ARLZ;UND;0,2;0,25;6
AROR;APLIQUE ROSA HORGANZA;AROR;UND;0,4;0,5;6
ARPRE;ARGOLLA DE PRESION;ARPRE;UND;;2;
ARPREF;ARGOLLA DE PRESION FDA/GDE;ARPREF;UND;16;19,2;3
ARQK120;ARGOLLA ALUMINIO QK120;ARQK120;UND;;1,72;
ARQK120F;ARGOLLA ALUMINO QK120 FDA/GDE;ARQK120F;UND;13,75;16,5;3
ARX1000F;ARGOLLA ARETE x 1000 FDA/GDE;ARX1000F;UND;22,5;27;3
ASATCH;ADORNO DE SANDALIA PARA ATACHE;ASATCH;UND;;0,38;
ASEN;APLIQUE SENCILLO;ASEN;UND;0,3;0,38;6
ATCH;ATACHES;ATCH;UND;;0,45;
ATCHF;ATACHES FDA/GDE;ATCHF;UND;3,5;4,38;3
ATCHP;ATACHES PEGABLE;ATCHP;UND;;1,3;
ATCHPF;ATACHES PEGABLES FDA/GDE;ATCHPF;UND;10;12;3
AVMCB;ARETE VARIOS MODELOS CON BRILLO;AVMCB;UND;;1,5;
BAAR;BASE ANILLO CON ARGOLLA;BAAR;UND;0,4;0,5;6
BAMA;BASE ANILLO CON MAYA;BAMA;UND;0,4;0,5;6
BAXP;BASE PARA ARETE X PAR;BAXP;UND;1,5;1,88;6
BDI1-600;BALANZA DIGITAL 0.1- 600g.;BDI1-600;UND;40;50;3
BGDI;BROCHE GRANDE CON DIAMANTE;BGDI;UND;0,65;0,81;6
BGFIN;BROCHE GANCHO FINO;BGFIN;UND;;0,23;
BGFX100;BROCHE GANCHO FINO X100;BGFX100;UND;18;21,6;3
BGGR;BROCHE GANCHO GRANDE;BGGR;UND;;1,75;
BGGRF;BROCHE GANCHO GRANDE FDA/GDE;BGGRF;UND;14;16,8;3
BGME;BROCHE GANCHO MEDIANO;BGME;UND;;1,25;
BGMEF;BROCHE GANCHO MEDIANO FDA/GDE;BGMEF;UND;10;12;3
BGPE;BROCHE GANCHO PEQUEÑO;BGPE;UND;;1;
BGPEF;BROCHE GANCHO PEQUEÑO FDA/GDE;BGPEF;UND;8;9,6;3
BGPL;BROCHE GANCHO PLANO FDA/GDE;BGPL;UND;17;20,4;3
BGPLF;BROCHE GANCHO PLANO FDA/PEQ;BGPLF;UND;;2,13;
BGTAG;BOLAS TAGUA;BGTAG;UND;0,18;0,23;
BMAZ0;BROCHE MAZI 1.0;BMAZ0;UND;;0,75;
BMAZ1;BROCHE MAZI 1.4;BMAZ1;UND;;0,94;
BMAZ1.4F;BROCHE MAZI 1.4 FDA/GDE;BMAZ1.4F;UND;7,5;9;3
BMAZI;BROCHE MAZI 0.6;BMAZI;UND;;0,5;
BMAZIF;BROCHE MAZI 0.6 FDA/GDE;BMAZIF;UND;4;4,8;3
BMF04;BOLA METALICA FINA # 4;BMF04;UND;5;6,25;3
BMF06;BOLA METALICA FINA #6;BMF06;UND;;0,1;
BMF08;BOLA METALICA FINA # 8;BMF08;UND;;0,12;
BMF10;BOLA METALICA FINA # 10;BMF10;UND;;0,18;
BMF10X100;BOLA METALICA FINA # 10;BMF10X100;UND;14;16,8;3
BMF12;BOLA METALICA FINA # 12;BMF12;UND;;0,23;
BMF12X100;BOLA METALICA FINA # 12;BMF12X100;UND;18;21,6;3
BMF6X100;BOLA METALICA FINA #6;BMF6X100;UND;7,5;9;3
BMF8X100;BOLA METALICA FINA # 8;BMF8X100;UND;9;10,8;3
BMPA;BROCHE MAGNETICO PASTILLA;BMPA;UND;0,2;0,26;6
BNAZ1.0F;BROCHE MAZI 1.0 FDA/GDE;BNAZ1.0F;UND;6;7,2;3
BODE04;BOLA DEBUTA # 04;BODE04;UND;0,4;0,5;6
BODE06;BOLA DEBUTA # 06;BODE06;UND;0,4;0,5;6
BODE08;BOLA DEBUTA # 08;BODE08;UND;0,5;0,63;6
BODE10;BOLA DEBUTA # 10;BODE10;UND;0,75;0,95;6
BODE12;BOLA DEBUTA # 12;BODE12;UND;1,1;1,39;6
BOLM2;BOLA METALICA # 2;BOLM2;UND;;0,75;
BOLM2F;BOLA METALICA # 2 FDA GRD.;BOLM2F;UND;6;7,2;3
BOLM4;BOLA METALICA # 4;BOLM4;UND;;1,06;
BOLM4F;BOLA METALICA # 4 FDA/GDE;BOLM4F;UND;8,5;10,2;3
BOLM6;BOLA METALICA # 6;BOLM6;UND;;0,56;
BOLM6F;BOLA METALICA # 6 FDA/GDE;BOLM6F;UND;4,5;5,4;3
BOLM8;BOLA METALICA # 8;BOLM8;UND;;1,06;
BOLM8F;BOLA METALICA # 7-8 FDA/GDE;BOLM8F;UND;8,5;10,2;3
BOXD;BOTONES X DOCENA PARA COSER;BOXD;UND;;0,54;
BRBAG;BROCHE BARRIL GRANDE;BRBAG;UND;;2,88;
BRBAGF;BROCHE BARRIL GRANDE FDA/GDE;BRBAGF;UND;23;27,6;3
BRBP;BROCHE BARRIL PEQUEÑO;BRBP;UND;;2,31;
BRBPF;BROCHE BARRIL PEQUEÑO FDA/GDE;BRBPF;UND;18,5;22,2;3
BRCG;BROCHE CONCHA GRANDE;BRCG;UND;6,8;8,5;6
BRCM;BROCHE CONCHA MEDIANA;BRCM;UND;4,8;6;6
BRCP;BROCHE CONCHA PEQUEÑO;BRCP;UND;3,9;4,88;6
BRDA;"BROCHE DIAMANTE "" A """;BRDA;UND;0,5;0,63;6
BRDGR;BROCHE DIAMANTE GRANDE;BRDGR;UND;0,6;0,76;6
BRGBG;BROCHE GANCHO BRONCE GRANDE;BRGBG;UND;;2;
BRGBGF;BROCHE GANCHO BRONCE GRANDE FDA/GDE;BRGBGF;UND;16;19,2;3
BRGEX;BROCHE GANCHO EXT/GRANDE;BRGEX;UND;4;4,8;3
BRGEXF;BROCHE GANCHO EXT/GDE;BRGEXF;UND;;0,5;
BRGM;BROCHE GANCHO BRONCE MEDIANO;BRGM;UND;;1,5;
BRGMF;BROCHE GANCHO BRONCE MEDIANO FDA/GDE;BRGMF;UND;12;14,4;3
BRGP;BROCHE GANCHO BRONCE PEQUEÑO;BRGP;UND;;1,44;
BRGPF;BROCHE GANCHO BRONCE PEQUEÑO FDA/GDE;BRGPF;UND;11,5;13,8;3
BRGRA;BROCHE GRANDE;BRGRA;UND;;2,38;
BRGRAF;BROCHE GRANDE FDA/GDE;BRGRAF;UND;19;22,8;3
BRIEX;BROCHE IMAN EXTRA GRANDE;BRIEX;UND;0,85;1,06;6
BRO2V;BROCHE 2 VUELTAS;BRO2V;UND;;0,54;
BRO3V;BROCHE 3 VUELTAS;BRO3V;UND;;0,75;
BRO3VF;BROCHE 3 VUELTAS FDA/GDE;BRO3VF;UND;6;7,2;3
BROF;BROCHE FINO;BROF;UND;0,45;0,57;6
BROG;BROCHE GAFETE;BROG;UND;0,45;0,57;6
BROPA;BROCHE PASTILLA;BROPA;UND;0,6;0,75;6
BROPE;BROCHE PEQUEÑO;BROPE;UND;;1,88;
BROPEF;BROCHE PEQUEÑO FDA/GDE;BROPEF;UND;15;18;3
BROPI;BROCHE CON PIEDRA;BROPI;UND;2,5;3,13;6
BROPLAS;BROCHE PLASTICO FDA/GDE;BROPLAS;UND;3,57;4,29;3
BROPLASF;BROCHE PLASTICO FDA/PQ;BROPLASF;UND;;0,45;
BROR;"BROCHE "" R """;BROR;UND;0,6;0,76;3
BROSV;BROCHE SALVAVIDA;BROSV;UND;0,45;0,57;6
BRPLDOC;BR. PLAST. PARA MALETAS;BRPLDOC;UND;;1,5;
BRRF;BROCHE REDONDO FINO;BRRF;UND;0,65;0,82;6
BX100CO;BOTONES X 100 PARA COSER;BX100CO;UND;4,25;5,1;3
CA/30;CADENA A/30;CA/30;UND;0,73;0,92;100
CAB1.5;CADENA BOLA 1.5;CAB1.5;UND;0,5;0,63;100
CAB1.5B;CADENA BOLA 1.5 BRONCE;CAB1.5B;UND;0,54;0,68;100
CAB1.5X3;CADENA B 1.5 X 3.0;CAB1.5X3;UND;0,8;1;100
CAB2.0;CADENA BOLA 2.0;CAB2.0;UND;0,66;0,83;100
CAB2.0B;CADENA BOLA 2.0 BRONCE;CAB2.0B;UND;0,72;0,9;100
CAB2.4X4;CADENA B2.4 x 4.8;CAB2.4X4;UND;0,95;1,19;100
CAB3.2X6;CADENA B 3.2 x 6.4;CAB3.2X6;UND;1,2;1,5;100
CACBR;CADENA COBRE / BRONCE;CACBR;UND;0,12;0,15;60M
CACR2.4;CADENA CR 2.4;CACR2.4;UND;0,65;0,81;100
CACR4.0;CADENA CR 4.0;CACR4.0;UND;1;1,25;100
CADEO;CADENA O FINA;CADEO;UND;;0,44;
CADGRU;CADENA GRUESA;CADGRU;UND;1,13;1,42;100
CADK13;CADENA K13;CADK13;UND;0,88;1,1;100
CADK14;CADENA K14;CADK14;UND;0,65;0,82;100
CADK15;CADENA K15;CADK15;UND;0,58;0,73;100
CADK16;CADENA K16;CADK16;UND;0,65;0,82;100
CADK17;CADENA K17;CADK17;UND;0,6;0,75;100
CADK18;CADENA K18;CADK18;UND;0,35;0,44;100
CADL19;CADENA L19;CADL19;UND;0,3;0,38;100
CADO;CADENA O;CADO;UND;0,15;0,21;60M
CADO100;CADENA O 100 mt;CADO100;UND;0,15;0,21;100
CADT21;CADENA T21;CADT21;UND;0,1;0,14;60M
CAFIN;CADENA FINA;CAFIN;UND;;2,5;
CAGR;CASCAJO GRANDE;CAGR;UND;;0,45;
CAK1620;CADENA K1620;CAK1620;UND;0,75;0,9;100
CAK1621D;CADENA K 1621 DIAMANTADA;CAK1621D;UND;0,75;0,9;100
CAK1622;CADENA K1622;CAK1622;UND;0,68;0,85;100
CAK1809;CADENA K1809;CAK1809;UND;0,6;0,72;100
CAK19;CADENA K19;CAK19;UND;1,1;1,38;100
CAK75;CADENA K75;CAK75;UND;0,62;0,81;100
CAK846;CADENA K846;CAK846;UND;6,5;7,8;100
CALCO;CALCOMANIA 60 x 46;CALCO;UND;2,7;3,38;6
CANUT;CANUTILLO TORCIDO;CANUT;UND;1,8;2,16;6
CAPLAFI;CADENA PLANA FINA;CAPLAFI;UND;0,15;0,2;100
CAPLAGR;CADENA PLANA GRUESA;CAPLAGR;UND;0,19;0,24;100
CARN3.2;CADENA RN 3.2;CARN3.2;UND;1;1,2;100
CASC;CASCAJO;CASC;UND;;0,45;
CASCN;CASCAJO NATURAL;CASCN;UND;1,2;1,5;6
CASCO;CASCAJO OJO DE GATO x 3;CASCO;UND;;0,89;
CASCHN;CASCAJO CONCHA NATURAL;CASCHN;UND;;0,45;
CASOF;CASCAJO OFERTA;CASOF;UND;;0,45;
CAUTI;CAUTIN PARA ATACHES;CAUTI;UND;85;102;3
CAVM;CORAL ARROZ VARIOS MODELOS;CAVM;UND;0,08;0,1;6
CBF1.5X3;CADENA BOLA FINA 1.5 X 3.0;CBF1.5X3;UND;0,85;1,06;100
CCC;CASCAJO CRISTAL COLOR;CCC;UND;;0,45;
CCGR;CARTERA DE COCO GDE.;CCGR;UND;;25;
CCMD;CARTERA DE COCO MED.;CCMD;UND;;20;
CCNF;CONCHA NATURAL FINA;CCNF;UND;;0,75;
CCOLKG;CORDON COLA DE RATA KG;CCOLKG;UND;8,5;8,93;3
CCOLRA;CORDON COLA DE RATA;CCOLRA;UND;;0,04;
CCPQ;CARTERA DE COCO PEQ.;CCPQ;UND;;10;
CCTP;CORAL CUADRADO TUBO PASTILLA;CCTP;UND;0,1;0,13;6
CCHN;CASCAJO CONCHA NACAR;CCHN;UND;1,25;1,56;6
CCHR;COLLAR CONCHA REDONDO;CCHR;UND;0,85;1,07;6
CDBIS;CD;CDBIS;UND;;5;
CDTM1.9;CADENA TM 1.9;CDTM1.9;UND;0,6;0,72;100
CEF1.8K;CORDON ELASTICO FINO 1.8 .KG;CEF1.8K;UND;;13,75;
CEG2.8;CORDON ELASTICO GRUESO 2.8;CEG2.8;UND;;0,38;
CEG2.8K;CORDON ELASTICO  GRUESO 2.8. KG;CEG2.8K;UND;;10,63;
CEM2.0K;CORDON ELASTICO MED. 2.0 KG;CEM2.0K;UND;;11,88;
CEMXR;CORDON ELASTICO  MED. x ROLLO;CEMXR;UND;4,5;5,63;3
CFPLA;CADENA DE PLATINO FINA;CFPLA;UND;;10;
CGYM;CUELLOS DE GIPIUR MEDIANO;CGYM;UND;1,75;2,19;6
CGYP;COELLO DE GIPIUR PEQUEÑO;CGYP;UND;0,7;0,88;6
CINFIN;CINTURON FINO;CINFIN;UND;;1,9;
CINNF1;CINTA F1;CINNF1;;;0,2;
CINTE1;CINTA E1;CINTE1;UND;;0,22;
CINTH1;CINTA H1 X 50YD;CINTH1;UND;;0,1;
CIRCLL;CIRCULO DE CUELLO;CIRCLL;UND;0,45;0,59;6
CIRDMA;CIRCULO DE MANO;CIRDMA;UND;;0,27;
CJC6;CUARZO JADE CUADRADO # 06;CJC6;UND;0,75;0,9;6
CJCL6;CUARZO JADE CUADRADO LARGO # 6;CJCL6;UND;0,95;1,14;6
CJRG;CUARZO RECTANGULAR GDE. 8 X 16;CJRG;UND;1,5;1,8;6
CJRM;CUARZO RECTANGULAR MED. 6 X 12;CJRM;UND;1,1;1,32;6
CJT;CUARZO JADE TORCIDO;CJT;UND;1,5;1,8;6
CK1032;CADENA K1032;CK1032;UND;1,7;2,04;100
CK1046;CADENA K1046;CK1046;UND;1,75;2,19;100
CK1047;CADENA K1047;CK1047;UND;4,25;5,31;100
CK10615;CADENA K10615;CK10615;UND;5,25;6,3;100
CK10619;CADENA K10619;CK10619;UND;4,2;5,04;100
CK12306;CADENA K12306;CK12306;UND;1,9;2,38;100
CK1233;CADENA K 1233;CK1233;UND;1,3;1,56;100
CK13301;CADENA K13301;CK13301;UND;2,85;3,57;100
CK13608;CADENA K13608;CK13608;UND;2,25;2,7;100
CK1426;CADENA K1426;CK1426;UND;2,55;3,06;100
