Q001  ; 1010100110001       ; PEPA LLANTA BICOLOR
Q001  ; 1010103550001       ; CANASTA PARED X 7
Q001  ; 1010303160001       ; PIEDRA VARIOS MODELOS ONIX
Q001  ; 1010501330001       ; DIAMANTE DE BRASIL CUADRADO # 08
Q001  ; 1010511030001       ; COLLAR CON DIJE
Q001  ; 1010511040001       ; PULSERA BRASALETE
Q001  ; 1010520020002       ; PEPA CRISTAL / KG
Q001  ; 1010520070001       ; CRISTAL ENTORCHADO
Q001  ; 1010520160001       ; CUARZO JADE BOLA # 06
Q001  ; 1010520170001       ; CUARZO JADE BOLA # 08
Q001  ; 1010520180001       ; CUARZO JADE BOLA # 10
Q001  ; 1010520190001       ; CUARZO JADE BOLA # 16
Q001  ; 1010520200001       ; CUARZO JADE 1 x 1.4
Q001  ; 1010520210001       ; CUARZO JADE PASTILLA
Q001  ; 1010520220001       ; CUARZO JADE CUADRADO # 02
Q001  ; 1010520230001       ; CUARZO JADE BOLA # 12
Q001  ; 1010522000001       ; DIAMANTE DE BRASIL BOLA # 04
Q001  ; 1010522010001       ; DIAMANTE DE BRASIL BOLA # 06
Q001  ; 1010522020001       ; DIAMANTE DE BRASIL BOLA # 08
Q001  ; 1010522030001       ; DIAMANTE DE BRASIL CUADRADO # 04
Q001  ; 1010522040001       ; DIAMANTE DE BRASIL CUADRADO # 06
Q001  ; 1010522050001       ; DIAMANTE DE BRASIL 4 x 6
Q001  ; 1010522060001       ; DIAMANTE DE BRASIL 5 x 8 / 6 x 8
Q001  ; 1010522080001       ; DIAMANTE DE BRASIL GOTA 6 x 14
Q001  ; 1010522090001       ; REVISTA # 5-6-8-9-10
Q001  ; 1010522100001       ; DIJE DIAMANTE DE BRASIL 2 HUECOS 
Q001  ; 1010522140001       ; DIAMANTE DE BRASIL PASTILLA # 06
Q001  ; 1010522150001       ; DIAMANTE DE BRASIL PASTILLA # 08
Q001  ; 1010522160001       ; DIAMANTE DE BRASIL MAGNETICO
Q001  ; 1010522170001       ; DIAMANTE DE BRASIL ESTRELLA / CORAZON
Q001  ; 1010522180001       ; DIAMANTE DE BRASIL GRANDE x 12
Q001  ; 1010522190001       ; PULSERA DIAMANTE DE BRASIL TUBO x 12
Q001  ; 1010522210001       ; DIAMANTE DE BRASIL C/DIJE PEQ x 12
Q001  ; 1010522220001       ; PULSERA DIAMANTE DE BRASIL BOLA/PLANCHA x 12
Q001  ; 1010522230001       ; DIAMANTE DE BRASIL BOLA # 10
Q001  ; 1010522240001       ; DIAMANTE DE BRASIL BOLA # 12
Q001  ; 1010522280001       ; DIAMANTE DE BRASIL TUBO 5X8 IMAN
Q001  ; 1010522350001       ; DMT/BRASIL BOLA  IMAN # 10
Q001  ; 1010522360001       ; DMT / BRASIL BOLA IMAN # 8
Q001  ; 1010522370001       ; DMT/BRASIL BOLA IMAN # 6
Q001  ; 1010524890001       ; MAQUINA PARA ATACHES
Q001  ; 1010524900001       ; TAPA ARETE BARRIL FINO
Q001  ; 1010527010001       ; CASCAJO OJO DE GATO
